
=== NO_FIRST_REVIEWS ===
Aggregation weight: reviews (99% CI, bootstrap BCa)
Methods compared: 15
Common users in all method files: 1
Common reviews (from shared users): 178986

| Method                                     | RMSE         | MAE         | MAPE          |
| ------------------------------------------ | ------------ | ----------- | ------------- |
| FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR_BY_GRADE | 9.43±0.00 s  | 4.58±0.00 s | 72.07%±0.00%  |
| FSRS7_R_LINEAR_BY_GRADES                   | 9.44±0.00 s  | 4.60±0.00 s | 73.98%±0.00%  |
| FSRS7_R_GRADE_INTERACT                     | 9.47±0.00 s  | 4.69±0.00 s | 73.75%±0.00%  |
| FSRS7_DSR_GRADE_NN                         | 9.53±0.00 s  | 4.69±0.00 s | 74.56%±0.00%  |
| GRADE_MEDIAN_4                             | 9.66±0.00 s  | 4.78±0.00 s | 83.12%±0.00%  |
| GRADE_MEDIAN_8                             | 9.66±0.00 s  | 4.78±0.00 s | 83.12%±0.00%  |
| FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR          | 9.72±0.00 s  | 4.78±0.00 s | 70.87%±0.00%  |
| GRADE_MEDIAN_4_4                           | 9.66±0.00 s  | 4.80±0.00 s | 84.14%±0.00%  |
| FSRS7_R_LINEAR                             | 9.71±0.00 s  | 4.80±0.00 s | 74.13%±0.00%  |
| MOVING_AVG                                 | 9.69±0.00 s  | 4.89±0.00 s | 72.14%±0.00%  |
| USER_MEDIAN                                | 10.20±0.00 s | 5.21±0.00 s | 87.16%±0.00%  |
| CONST                                      | 10.03±0.00 s | 5.28±0.00 s | 97.28%±0.00%  |
| POOR_MANS_FSRS                             | 9.38±0.00 s  | 5.41±0.00 s | 105.37%±0.00% |
| FSRS7_ONE_MINUS_R_S_REPS_D_RIDGE           | 9.68±0.00 s  | 5.84±0.00 s | 116.35%±0.00% |
| FSRS7_R_RIDGE                              | 9.70±0.00 s  | 5.95±0.00 s | 123.97%±0.00% |

Highlights:
- Best RMSE: POOR_MANS_FSRS (9.3820 s)
- Best MAE: FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR_BY_GRADE (4.5808 s)
- Best MAPE: FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR (70.8709%)
- Overall: no single method is best on all three metrics.
Interpretation tip: 10s MAE means ~10s average absolute error; 10s RMSE is in seconds too but penalizes large misses more; MAPE is percentage (e.g., 10% means ~2s error when true time is 20s).

R-bucket precision (5% buckets):

Method: CONST (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | True ratio vs 0.85-0.90 | Pred ratio vs 0.85-0.90 | Ratio match (%) | Within 2s (%) |
| 0.85-0.90 | 50304 | 7.0918        | 6.9575        | 8.8953   | 4.5669  | 1.0000                  | 1.0000                  | 100.00          | 28.32         |
| 0.90-0.95 | 19759 | 5.4457        | 5.8005        | 7.5197   | 3.7817  | 0.7679                  | 0.8337                  | 92.11           | 35.67         |
| 0.95-1.00 | 3452  | 2.8109        | 4.8389        | 4.2891   | 3.0332  | 0.3964                  | 0.6955                  | 56.99           | 27.95         |

Method: GRADE_MEDIAN_4 (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | True ratio vs 0.85-0.90 | Pred ratio vs 0.85-0.90 | Ratio match (%) | Within 2s (%) |
| --------- | ----- | ------------- | ------------- | -------- | ------- | ----------------------- | ----------------------- | --------------- | ------------- |
| 0.25-0.30 | 9     | 8.7818        | 9.3150        | 6.3708   | 4.5252  | 1.2383                  | 1.5074                  | 82.15           | 33.33         |
| 0.30-0.35 | 1296  | 15.8337       | 8.5264        | 15.4624  | 9.4200  | 2.2327                  | 1.3798                  | 61.80           | 23.23         |
| 0.35-0.40 | 8448  | 15.8267       | 8.0464        | 16.1950  | 9.3347  | 2.2317                  | 1.3021                  | 58.35           | 28.85         |
| 0.40-0.45 | 5508  | 14.7833       | 8.0787        | 15.2844  | 8.4672  | 2.0846                  | 1.3074                  | 62.72           | 33.44         |
| 0.45-0.50 | 2626  | 14.2600       | 8.7121        | 14.2931  | 8.0730  | 2.0108                  | 1.4099                  | 70.12           | 29.47         |
| 0.50-0.55 | 3402  | 12.3023       | 8.6266        | 12.1236  | 6.6489  | 1.7347                  | 1.3960                  | 80.48           | 33.22         |
| 0.55-0.60 | 4560  | 10.9587       | 8.0076        | 11.2154  | 6.0874  | 1.5453                  | 1.2959                  | 83.86           | 34.34         |
| 0.60-0.65 | 5523  | 10.7652       | 7.4278        | 11.4308  | 6.0735  | 1.5180                  | 1.2020                  | 79.19           | 36.57         |
| 0.65-0.70 | 5592  | 10.3548       | 7.4180        | 11.0543  | 5.8477  | 1.4601                  | 1.2004                  | 82.22           | 36.50         |
| 0.70-0.75 | 7555  | 9.4949        | 7.2902        | 9.9155   | 5.2423  | 1.3389                  | 1.1798                  | 88.12           | 37.83         |
| 0.75-0.80 | 15982 | 8.7296        | 7.2032        | 9.1408   | 4.7216  | 1.2310                  | 1.1657                  | 94.70           | 40.55         |
| 0.80-0.85 | 44942 | 7.5640        | 6.8831        | 7.9812   | 3.9845  | 1.0666                  | 1.1139                  | 95.75           | 43.63         |
| 0.85-0.90 | 50304 | 7.0918        | 6.1793        | 8.6611   | 3.9483  | 1.0000                  | 1.0000                  | 100.00          | 47.58         |
| 0.90-0.95 | 19759 | 5.4457        | 5.9823        | 7.3824   | 3.7028  | 0.7679                  | 0.9681                  | 79.32           | 39.50         |
| 0.95-1.00 | 3452  | 2.8109        | 5.8376        | 4.9058   | 3.8428  | 0.3964                  | 0.9447                  | 41.96           | 16.98         |

Method: GRADE_MEDIAN_4_4 (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | True ratio vs 0.85-0.90 | Pred ratio vs 0.85-0.90 | Ratio match (%) | Within 2s (%) |
| --------- | ----- | ------------- | ------------- | -------- | ------- | ----------------------- | ----------------------- | --------------- | ------------- |
| 0.25-0.30 | 9     | 8.7818        | 9.0864        | 6.3416   | 4.4198  | 1.2383                  | 1.4544                  | 85.14           | 33.33         |
| 0.30-0.35 | 1296  | 15.8337       | 8.3837        | 15.5306  | 9.4696  | 2.2327                  | 1.3419                  | 60.10           | 23.07         |
| 0.35-0.40 | 8448  | 15.8267       | 7.9893        | 16.2370  | 9.3696  | 2.2317                  | 1.2788                  | 57.30           | 28.97         |
| 0.40-0.45 | 5508  | 14.7833       | 8.0639        | 15.3022  | 8.4854  | 2.0846                  | 1.2907                  | 61.92           | 33.46         |
| 0.45-0.50 | 2626  | 14.2600       | 8.6284        | 14.3418  | 8.0975  | 2.0108                  | 1.3811                  | 68.68           | 29.70         |
| 0.50-0.55 | 3402  | 12.3023       | 8.5343        | 12.1498  | 6.6510  | 1.7347                  | 1.3660                  | 78.75           | 33.92         |
| 0.55-0.60 | 4560  | 10.9587       | 7.8823        | 11.2137  | 6.0512  | 1.5453                  | 1.2617                  | 81.65           | 35.48         |
| 0.60-0.65 | 5523  | 10.7652       | 7.4064        | 11.4132  | 6.0429  | 1.5180                  | 1.1855                  | 78.10           | 36.94         |
| 0.65-0.70 | 5592  | 10.3548       | 7.4898        | 11.0334  | 5.8498  | 1.4601                  | 1.1988                  | 82.11           | 36.57         |
| 0.70-0.75 | 7555  | 9.4949        | 7.4049        | 9.8921   | 5.2537  | 1.3389                  | 1.1852                  | 88.53           | 37.62         |
| 0.75-0.80 | 15982 | 8.7296        | 7.3617        | 9.1201   | 4.7582  | 1.2310                  | 1.1783                  | 95.72           | 39.32         |
| 0.80-0.85 | 44942 | 7.5640        | 7.0504        | 7.9714   | 4.0372  | 1.0666                  | 1.1285                  | 94.51           | 41.89         |
| 0.85-0.90 | 50304 | 7.0918        | 6.2476        | 8.6486   | 3.9661  | 1.0000                  | 1.0000                  | 100.00          | 46.72         |
| 0.90-0.95 | 19759 | 5.4457        | 5.9184        | 7.3824   | 3.6707  | 0.7679                  | 0.9473                  | 81.06           | 41.41         |
| 0.95-1.00 | 3452  | 2.8109        | 5.8547        | 4.9520   | 3.8721  | 0.3964                  | 0.9371                  | 42.30           | 18.40         |

Method: GRADE_MEDIAN_8 (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | True ratio vs 0.85-0.90 | Pred ratio vs 0.85-0.90 | Ratio match (%) | Within 2s (%) |
| --------- | ----- | ------------- | ------------- | -------- | ------- | ----------------------- | ----------------------- | --------------- | ------------- |
| 0.25-0.30 | 9     | 8.7818        | 9.3150        | 6.3708   | 4.5252  | 1.2383                  | 1.5074                  | 82.15           | 33.33         |
| 0.30-0.35 | 1296  | 15.8337       | 8.5264        | 15.4624  | 9.4200  | 2.2327                  | 1.3798                  | 61.80           | 23.23         |
| 0.35-0.40 | 8448  | 15.8267       | 8.0464        | 16.1950  | 9.3347  | 2.2317                  | 1.3021                  | 58.35           | 28.85         |
| 0.40-0.45 | 5508  | 14.7833       | 8.0787        | 15.2844  | 8.4672  | 2.0846                  | 1.3074                  | 62.72           | 33.44         |
| 0.45-0.50 | 2626  | 14.2600       | 8.7121        | 14.2931  | 8.0730  | 2.0108                  | 1.4099                  | 70.12           | 29.47         |
| 0.50-0.55 | 3402  | 12.3023       | 8.6266        | 12.1236  | 6.6489  | 1.7347                  | 1.3960                  | 80.48           | 33.22         |
| 0.55-0.60 | 4560  | 10.9587       | 8.0076        | 11.2154  | 6.0874  | 1.5453                  | 1.2959                  | 83.86           | 34.34         |
| 0.60-0.65 | 5523  | 10.7652       | 7.4278        | 11.4308  | 6.0735  | 1.5180                  | 1.2020                  | 79.19           | 36.57         |
| 0.65-0.70 | 5592  | 10.3548       | 7.4180        | 11.0543  | 5.8477  | 1.4601                  | 1.2004                  | 82.22           | 36.50         |
| 0.70-0.75 | 7555  | 9.4949        | 7.2902        | 9.9155   | 5.2423  | 1.3389                  | 1.1798                  | 88.12           | 37.83         |
| 0.75-0.80 | 15982 | 8.7296        | 7.2032        | 9.1408   | 4.7216  | 1.2310                  | 1.1657                  | 94.70           | 40.55         |
| 0.80-0.85 | 44942 | 7.5640        | 6.8831        | 7.9812   | 3.9845  | 1.0666                  | 1.1139                  | 95.75           | 43.63         |
| 0.85-0.90 | 50304 | 7.0918        | 6.1793        | 8.6611   | 3.9483  | 1.0000                  | 1.0000                  | 100.00          | 47.58         |
| 0.90-0.95 | 19759 | 5.4457        | 5.9823        | 7.3824   | 3.7028  | 0.7679                  | 0.9681                  | 79.32           | 39.50         |
| 0.95-1.00 | 3452  | 2.8109        | 5.8376        | 4.9058   | 3.8428  | 0.3964                  | 0.9447                  | 41.96           | 16.98         |

Method: MOVING_AVG (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | True ratio vs 0.85-0.90 | Pred ratio vs 0.85-0.90 | Ratio match (%) | Within 2s (%) |
| --------- | ----- | ------------- | ------------- | -------- | ------- | ----------------------- | ----------------------- | --------------- | ------------- |
| 0.25-0.30 | 4     | 11.9062       | 4.7293        | 11.8756  | 7.1770  | 1.7250                  | 0.8326                  | 48.27           | 50.00         |
| 0.30-0.35 | 140   | 11.7857       | 8.3212        | 13.0354  | 7.2888  | 1.7076                  | 1.4650                  | 85.80           | 32.14         |
| 0.35-0.40 | 2056  | 17.2651       | 12.6248       | 14.9153  | 9.7388  | 2.5015                  | 2.2227                  | 88.86           | 20.23         |
| 0.40-0.45 | 3451  | 16.6165       | 12.2746       | 15.1971  | 9.7970  | 2.4075                  | 2.1611                  | 89.76           | 19.70         |
| 0.45-0.50 | 5347  | 15.0048       | 11.3493       | 14.7008  | 9.0661  | 2.1740                  | 1.9982                  | 91.91           | 22.98         |
| 0.50-0.55 | 5001  | 14.1335       | 10.3981       | 13.9614  | 8.5166  | 2.0477                  | 1.8307                  | 89.40           | 24.96         |
| 0.55-0.60 | 4295  | 13.7805       | 9.6527        | 13.8403  | 8.2647  | 1.9966                  | 1.6995                  | 85.12           | 25.96         |
| 0.60-0.65 | 4597  | 11.7833       | 8.7506        | 12.0350  | 6.9738  | 1.7072                  | 1.5406                  | 90.24           | 31.00         |
| 0.65-0.70 | 8669  | 10.8279       | 7.9359        | 11.5715  | 6.4909  | 1.5688                  | 1.3972                  | 89.06           | 33.35         |
| 0.70-0.75 | 8803  | 9.8571        | 7.4271        | 10.0464  | 5.5566  | 1.4282                  | 1.3076                  | 91.56           | 37.42         |
| 0.75-0.80 | 15488 | 9.0922        | 6.8410        | 9.3842   | 4.9784  | 1.3173                  | 1.2044                  | 91.43           | 41.41         |
| 0.80-0.85 | 32801 | 8.0516        | 6.4562        | 8.6923   | 4.4375  | 1.1666                  | 1.1367                  | 97.44           | 44.06         |
| 0.85-0.90 | 56699 | 6.9020        | 5.6798        | 8.5521   | 3.9826  | 1.0000                  | 1.0000                  | 100.00          | 50.56         |
| 0.90-0.95 | 28177 | 5.7459        | 5.3412        | 8.0054   | 3.5998  | 0.8325                  | 0.9404                  | 88.53           | 54.21         |
| 0.95-1.00 | 3430  | 2.9167        | 3.5529        | 3.7422   | 1.7529  | 0.4226                  | 0.6255                  | 67.56           | 74.66         |

Method: POOR_MANS_FSRS (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | True ratio vs 0.85-0.90 | Pred ratio vs 0.85-0.90 | Ratio match (%) | Within 2s (%) |
| --------- | ----- | ------------- | ------------- | -------- | ------- | ----------------------- | ----------------------- | --------------- | ------------- |
| 0.25-0.30 | 9     | 8.7818        | 16.7628       | 10.0334  | 9.2136  | 1.2383                  | 2.4777                  | 49.98           | 0.00          |
| 0.30-0.35 | 1296  | 15.8337       | 16.4382       | 13.6881  | 9.7667  | 2.2327                  | 2.4298                  | 91.89           | 11.88         |
| 0.35-0.40 | 8448  | 15.8267       | 15.3641       | 14.1496  | 9.5533  | 2.2317                  | 2.2710                  | 98.27           | 13.19         |
| 0.40-0.45 | 5508  | 14.7833       | 15.2686       | 13.7184  | 9.5097  | 2.0846                  | 2.2569                  | 92.36           | 11.02         |
| 0.45-0.50 | 2626  | 14.2600       | 15.0942       | 13.2260  | 9.2426  | 2.0108                  | 2.2311                  | 90.12           | 11.20         |
| 0.50-0.55 | 3402  | 12.3023       | 14.8823       | 11.9161  | 8.7826  | 1.7347                  | 2.1998                  | 78.86           | 10.08         |
| 0.55-0.60 | 4560  | 10.9587       | 13.8033       | 11.2819  | 8.3054  | 1.5453                  | 2.0403                  | 75.74           | 11.38         |
| 0.60-0.65 | 5523  | 10.7652       | 12.6905       | 11.2108  | 7.8210  | 1.5180                  | 1.8758                  | 80.92           | 13.67         |
| 0.65-0.70 | 5592  | 10.3548       | 11.7592       | 10.9168  | 7.3449  | 1.4601                  | 1.7382                  | 84.00           | 15.84         |
| 0.70-0.75 | 7555  | 9.4949        | 10.9382       | 9.8623   | 6.5772  | 1.3389                  | 1.6168                  | 82.81           | 17.55         |
| 0.75-0.80 | 15982 | 8.7296        | 10.2739       | 9.2158   | 6.0066  | 1.2310                  | 1.5186                  | 81.06           | 18.85         |
| 0.80-0.85 | 44942 | 7.5640        | 8.6949        | 8.0942   | 4.8170  | 1.0666                  | 1.2852                  | 82.99           | 27.46         |
| 0.85-0.90 | 50304 | 7.0918        | 6.7653        | 8.6545   | 4.2552  | 1.0000                  | 1.0000                  | 100.00          | 41.67         |
| 0.90-0.95 | 19759 | 5.4457        | 4.9465        | 7.2731   | 3.2309  | 0.7679                  | 0.7311                  | 95.21           | 56.45         |
| 0.95-1.00 | 3452  | 2.8109        | 2.4503        | 3.7602   | 1.9666  | 0.3964                  | 0.3622                  | 91.38           | 73.29         |

Method: USER_MEDIAN (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | True ratio vs 0.85-0.90 | Pred ratio vs 0.85-0.90 | Ratio match (%) | Within 2s (%) |
| --------- | ----- | ------------- | ------------- | -------- | ------- | ----------------------- | ----------------------- | --------------- | ------------- |
| 0.25-0.30 | 9     | 8.7818        | 5.3519        | 7.0759   | 4.4257  | 1.2383                  | 0.8554                  | 69.07           | 33.33         |
| 0.30-0.35 | 1296  | 15.8337       | 5.3428        | 17.3540  | 11.0835 | 2.2327                  | 0.8539                  | 38.25           | 22.61         |
| 0.35-0.40 | 8448  | 15.8267       | 5.4001        | 17.8623  | 10.9446 | 2.2317                  | 0.8631                  | 38.67           | 25.52         |
| 0.40-0.45 | 5508  | 14.7833       | 5.7124        | 16.7636  | 9.8242  | 2.0846                  | 0.9130                  | 43.80           | 28.12         |
| 0.45-0.50 | 2626  | 14.2600       | 6.8561        | 15.4593  | 8.8924  | 2.0108                  | 1.0958                  | 54.49           | 28.10         |
| 0.50-0.55 | 3402  | 12.3023       | 7.1315        | 13.0638  | 7.1712  | 1.7347                  | 1.1398                  | 65.70           | 32.28         |
| 0.55-0.60 | 4560  | 10.9587       | 6.9297        | 11.9624  | 6.4373  | 1.5453                  | 1.1075                  | 71.67           | 32.35         |
| 0.60-0.65 | 5523  | 10.7652       | 6.4848        | 12.1398  | 6.5028  | 1.5180                  | 1.0364                  | 68.28           | 33.10         |
| 0.65-0.70 | 5592  | 10.3548       | 6.6946        | 11.6334  | 6.1740  | 1.4601                  | 1.0699                  | 73.28           | 32.78         |
| 0.70-0.75 | 7555  | 9.4949        | 6.8918        | 10.2259  | 5.3221  | 1.3389                  | 1.1015                  | 82.27           | 35.58         |
| 0.75-0.80 | 15982 | 8.7296        | 6.9580        | 9.3978   | 4.8737  | 1.2310                  | 1.1120                  | 90.34           | 34.03         |
| 0.80-0.85 | 44942 | 7.5640        | 6.7929        | 8.2509   | 4.2558  | 1.0666                  | 1.0857                  | 98.24           | 34.91         |
| 0.85-0.90 | 50304 | 7.0918        | 6.2569        | 8.9746   | 4.3191  | 1.0000                  | 1.0000                  | 100.00          | 36.47         |
| 0.90-0.95 | 19759 | 5.4457        | 6.3280        | 7.6452   | 4.1433  | 0.7679                  | 1.0114                  | 75.93           | 28.35         |
| 0.95-1.00 | 3452  | 2.8109        | 6.4404        | 5.2790   | 4.3865  | 0.3964                  | 1.0293                  | 38.51           | 11.15         |

R-time correlation summary (bucket-level, weighted by bucket count):
| Method                                     | Pearson R~true | Pearson R~pred | Spearman R~true | Spearman R~pred |
| ------------------------------------------ | -------------- | -------------- | --------------- | --------------- |
| CONST                                      | -0.9868        | N/A            | -0.9978         | 1.0000          |
| FSRS7_DSR_GRADE_NN                         | -0.9868        | -0.9982        | -0.9978         | -1.0000         |
| FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR          | -0.9868        | -0.9960        | -0.9978         | -1.0000         |
| FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR_BY_GRADE | -0.9868        | -0.9980        | -0.9978         | -1.0000         |
| FSRS7_ONE_MINUS_R_S_REPS_D_RIDGE           | -0.9868        | -0.9954        | -0.9978         | -1.0000         |
| FSRS7_R_GRADE_INTERACT                     | -0.9868        | -0.9993        | -0.9978         | -1.0000         |
| FSRS7_R_LINEAR                             | -0.9868        | -0.9988        | -0.9978         | -1.0000         |
| FSRS7_R_LINEAR_BY_GRADES                   | -0.9868        | -0.9992        | -0.9978         | -1.0000         |
| FSRS7_R_RIDGE                              | -0.9868        | -0.9986        | -0.9978         | -1.0000         |
| GRADE_MEDIAN_4                             | -0.9868        | -0.9206        | -0.9978         | -0.9589         |
| GRADE_MEDIAN_4_4                           | -0.9868        | -0.8841        | -0.9978         | -0.9554         |
| GRADE_MEDIAN_8                             | -0.9868        | -0.9206        | -0.9978         | -0.9589         |
| MOVING_AVG                                 | -0.9923        | -0.9883        | -0.9918         | -0.9952         |
| POOR_MANS_FSRS                             | -0.9868        | -0.9612        | -0.9978         | -1.0000         |
| USER_MEDIAN                                | -0.9868        | 0.2943         | -0.9978         | -0.0367         |

=== WITH_FIRST_REVIEWS ===
No result files found.
